sample_id_nwd_id	merge_id	hgsc_xfer_subdir	batch	merge_path	current_cram_name	new_cram_name	json_path	cram_path
NWD103758	TMSOLW.NWD103758-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD103758-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY	TMSOLW.NWD103758-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram	NWD103758.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD103758-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD103758-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY/TMSOLW.NWD103758-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram
NWD106471	TMSOLW.NWD106471-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD106471-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOLW.NWD106471-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram	NWD106471.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD106471-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD106471-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/TMSOLW.NWD106471-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram
NWD118806	TMSOLW.NWD118806-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD118806-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY	TMSOLW.NWD118806-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram	NWD118806.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD118806-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD118806-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY/TMSOLW.NWD118806-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram
NWD118927	TMSOLW.NWD118927-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD118927-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY	TMSOLW.NWD118927-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram	NWD118927.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD118927-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD118927-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY/TMSOLW.NWD118927-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram
NWD144015	TMSOLW.NWD144015-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD144015-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY	TMSOLW.NWD144015-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY.hgv.cram	NWD144015.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD144015-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD144015-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY/TMSOLW.NWD144015-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY.hgv.cram
NWD145805	TMSOLW.NWD145805-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD145805-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY	TMSOLW.NWD145805-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram	NWD145805.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD145805-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD145805-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY/TMSOLW.NWD145805-1_2AMP-FLOWCELL-HCVCCCCXY-HF72VCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram
NWD149570	TMSOLW.NWD149570-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD149570-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY	TMSOLW.NWD149570-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY.hgv.cram	NWD149570.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD149570-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD149570-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY/TMSOLW.NWD149570-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY.hgv.cram
NWD150863	TMSOLW.NWD150863-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD150863-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOLW.NWD150863-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram	NWD150863.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD150863-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD150863-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/TMSOLW.NWD150863-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram
NWD182362	TMSOLW.NWD182362-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD182362-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY	TMSOLW.NWD182362-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram	NWD182362.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD182362-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD182362-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY/TMSOLW.NWD182362-1_2AMP-FLOWCELL-HCVHCCCXY-HCVHGCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram
NWD188197	TMSOLW.NWD188197-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD188197-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOLW.NWD188197-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram	NWD188197.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD188197-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD188197-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/TMSOLW.NWD188197-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram
NWD208281	TMSOLW.NWD208281-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD208281-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY	TMSOLW.NWD208281-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram	NWD208281.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD208281-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD208281-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY/TMSOLW.NWD208281-1_2AMP-FLOWCELL-HCW7GCCXY-HF5LNCCXY-HC7V7CCXY-HFC7JCCXY.hgv.cram
NWD213255	TMSOLW.NWD213255-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD213255-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY	TMSOLW.NWD213255-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY.hgv.cram	NWD213255.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD213255-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD213255-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY/TMSOLW.NWD213255-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY.hgv.cram
NWD222253	TMSOLW.NWD222253-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD222253-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY	TMSOLW.NWD222253-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY.hgv.cram	NWD222253.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD222253-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD222253-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY/TMSOLW.NWD222253-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY.hgv.cram
NWD232014	TMSOLW.NWD232014-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD232014-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY	TMSOLW.NWD232014-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY.hgv.cram	NWD232014.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD232014-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD232014-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY/TMSOLW.NWD232014-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY.hgv.cram
NWD243140	TMSOLW.NWD243140-1_2AMP-FLOWCELL-HCVCCCCXY-HC7V7CCXY-HF72VCCXY-HFC7JCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD243140-1_2AMP-FLOWCELL-HCVCCCCXY-HC7V7CCXY-HF72VCCXY-HFC7JCCXY	TMSOLW.NWD243140-1_2AMP-FLOWCELL-HCVCCCCXY-HC7V7CCXY-HF72VCCXY-HFC7JCCXY.hgv.cram	NWD243140.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD243140-1_2AMP-FLOWCELL-HCVCCCCXY-HC7V7CCXY-HF72VCCXY-HFC7JCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD243140-1_2AMP-FLOWCELL-HCVCCCCXY-HC7V7CCXY-HF72VCCXY-HFC7JCCXY/TMSOLW.NWD243140-1_2AMP-FLOWCELL-HCVCCCCXY-HC7V7CCXY-HF72VCCXY-HFC7JCCXY.hgv.cram
NWD249826	TMSOLW.NWD249826-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD249826-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY	TMSOLW.NWD249826-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram	NWD249826.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD249826-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD249826-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY/TMSOLW.NWD249826-1_2AMP-FLOWCELL-HCVGTCCXY-HCVJCCCXY-HCWJHCCXY-HCWHTCCXY-HFCNHCCXY.hgv.cram
NWD278973	TMSOLW.NWD278973-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD278973-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY	TMSOLW.NWD278973-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY.hgv.cram	NWD278973.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD278973-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD278973-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY/TMSOLW.NWD278973-1_2AMP-FLOWCELL-HCW3LCCXY-HCWHTCCXY-HFCNHCCXY-HCV77CCXY.hgv.cram
NWD279557	TMSOLW.NWD279557-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD279557-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY	TMSOLW.NWD279557-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY.hgv.cram	NWD279557.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD279557-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD279557-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY/TMSOLW.NWD279557-1_2AMP-FLOWCELL-HF5YLCCXY-HC7V7CCXY-HCWFTCCXY-HF5WLCCXY.hgv.cram
NWD283996	TMSOLW.NWD283996-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY	TMSOL	TMSOL_batch19a	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD283996-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY	TMSOLW.NWD283996-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY.hgv.cram	NWD283996.hgv.cram	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD283996-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY/MEDefn.json	/stornext/snfs0/next-gen/HgVMerge/TMSOLW.NWD283996-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY/TMSOLW.NWD283996-1_2AMP-FLOWCELL-HF72FCCXY-HFC22CCXY-HC7V7CCXY-HCW33CCXY.hgv.cram
