lane_barcode	hgsc_xfer_subdir	batch	sample_id/nwd_id	run_name	current_cram_name	new_cram_name	cram_path
HG3HKCCXY-7	CHS	CHS_batch29_2017-12-06	NWD739436	171112_ST-E00238_0601_BHG3HKCCXY_7	HG3HKCCXY-7.hgv.cram	NWD739436-HG3HKCCXY-7.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171112_ST-E00238_0601_BHG3HKCCXY/Results/Project_HG3HKCCXY/Sample_HG3HKCCXY-7/HG3HKCCXY-7.hgv.cram
HF7JNCCXY-5	CHS	CHS_batch29_2017-12-06	NWD404712	171122_E00594_0182_AHF7JNCCXY_5	HF7JNCCXY-5.hgv.cram	NWD404712-HF7JNCCXY-5.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00594/171122_E00594_0182_AHF7JNCCXY/Results/Project_HF7JNCCXY/Sample_HF7JNCCXY-5/HF7JNCCXY-5.hgv.cram
HF7JNCCXY-4	CHS	CHS_batch29_2017-12-06	NWD959929	171122_E00594_0182_AHF7JNCCXY_4	HF7JNCCXY-4.hgv.cram	NWD959929-HF7JNCCXY-4.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00594/171122_E00594_0182_AHF7JNCCXY/Results/Project_HF7JNCCXY/Sample_HF7JNCCXY-4/HF7JNCCXY-4.hgv.cram
HF5W2CCXY-2	CHS	CHS_batch29_2017-12-06	NWD644755	171122_E00546_0238_BHF5W2CCXY_2	HF5W2CCXY-2.hgv.cram	NWD644755-HF5W2CCXY-2.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171122_E00546_0238_BHF5W2CCXY/Results/Project_HF5W2CCXY/Sample_HF5W2CCXY-2/HF5W2CCXY-2.hgv.cram
HF7HVCCXY-5	CHS	CHS_batch29_2017-12-06	NWD433262	171123_E00366_0522_AHF7HVCCXY_5	HF7HVCCXY-5.hgv.cram	NWD433262-HF7HVCCXY-5.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-5/HF7HVCCXY-5.hgv.cram
HF7HVCCXY-2	CHS	CHS_batch29_2017-12-06	NWD631204	171123_E00366_0522_AHF7HVCCXY_2	HF7HVCCXY-2.hgv.cram	NWD631204-HF7HVCCXY-2.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-2/HF7HVCCXY-2.hgv.cram
HFFTTCCXY-3	CHS	CHS_batch29_2017-12-06	NWD921693	171123_E00538_0154_AHFFTTCCXY_3	HFFTTCCXY-3.hgv.cram	NWD921693-HFFTTCCXY-3.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-3/HFFTTCCXY-3.hgv.cram
HFFTTCCXY-4	CHS	CHS_batch29_2017-12-06	NWD190795	171123_E00538_0154_AHFFTTCCXY_4	HFFTTCCXY-4.hgv.cram	NWD190795-HFFTTCCXY-4.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-4/HFFTTCCXY-4.hgv.cram
HF7HVCCXY-4	CHS	CHS_batch29_2017-12-06	NWD229765	171123_E00366_0522_AHF7HVCCXY_4	HF7HVCCXY-4.hgv.cram	NWD229765-HF7HVCCXY-4.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-4/HF7HVCCXY-4.hgv.cram
HFFTTCCXY-7	CHS	CHS_batch29_2017-12-06	NWD655945	171123_E00538_0154_AHFFTTCCXY_7	HFFTTCCXY-7.hgv.cram	NWD655945-HFFTTCCXY-7.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-7/HFFTTCCXY-7.hgv.cram
HFFTTCCXY-6	CHS	CHS_batch29_2017-12-06	NWD145098	171123_E00538_0154_AHFFTTCCXY_6	HFFTTCCXY-6.hgv.cram	NWD145098-HFFTTCCXY-6.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-6/HFFTTCCXY-6.hgv.cram
HF7HVCCXY-1	CHS	CHS_batch29_2017-12-06	NWD988583	171123_E00366_0522_AHF7HVCCXY_1	HF7HVCCXY-1.hgv.cram	NWD988583-HF7HVCCXY-1.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-1/HF7HVCCXY-1.hgv.cram
HFFTTCCXY-2	CHS	CHS_batch29_2017-12-06	NWD627050	171123_E00538_0154_AHFFTTCCXY_2	HFFTTCCXY-2.hgv.cram	NWD627050-HFFTTCCXY-2.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-2/HFFTTCCXY-2.hgv.cram
HF7HVCCXY-8	CHS	CHS_batch29_2017-12-06	NWD770975	171123_E00366_0522_AHF7HVCCXY_8	HF7HVCCXY-8.hgv.cram	NWD770975-HF7HVCCXY-8.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-8/HF7HVCCXY-8.hgv.cram
HFFTTCCXY-5	CHS	CHS_batch29_2017-12-06	NWD783076	171123_E00538_0154_AHFFTTCCXY_5	HFFTTCCXY-5.hgv.cram	NWD783076-HFFTTCCXY-5.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-5/HFFTTCCXY-5.hgv.cram
HFFTTCCXY-1	CHS	CHS_batch29_2017-12-06	NWD933120	171123_E00538_0154_AHFFTTCCXY_1	HFFTTCCXY-1.hgv.cram	NWD933120-HFFTTCCXY-1.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-1/HFFTTCCXY-1.hgv.cram
HF7HVCCXY-7	CHS	CHS_batch29_2017-12-06	NWD638814	171123_E00366_0522_AHF7HVCCXY_7	HF7HVCCXY-7.hgv.cram	NWD638814-HF7HVCCXY-7.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-7/HF7HVCCXY-7.hgv.cram
HF7HVCCXY-6	CHS	CHS_batch29_2017-12-06	NWD840789	171123_E00366_0522_AHF7HVCCXY_6	HF7HVCCXY-6.hgv.cram	NWD840789-HF7HVCCXY-6.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-6/HF7HVCCXY-6.hgv.cram
HFFFFCCXY-2	CHS	CHS_batch29_2017-12-06	NWD466399	171124_ST-E00212_0643_BHFFFFCCXY_2	HFFFFCCXY-2.hgv.cram	NWD466399-HFFFFCCXY-2.hgv.cram	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171124_ST-E00212_0643_BHFFFFCCXY/Results/Project_HFFFFCCXY/Sample_HFFFFCCXY-2/HFFFFCCXY-2.hgv.cram
HFCLMCCXY-1	CHS	CHS_batch29_2017-12-06	NWD811239	171124_ST-E00238_0608_AHFCLMCCXY_1	HFCLMCCXY-1.hgv.cram	NWD811239-HFCLMCCXY-1.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-1/HFCLMCCXY-1.hgv.cram
HFFNWCCXY-1	CHS	CHS_batch29_2017-12-06	NWD323466	171124_ST-E00238_0609_BHFFNWCCXY_1	HFFNWCCXY-1.hgv.cram	NWD323466-HFFNWCCXY-1.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-1/HFFNWCCXY-1.hgv.cram
HFFNWCCXY-6	CHS	CHS_batch29_2017-12-06	NWD229299	171124_ST-E00238_0609_BHFFNWCCXY_6	HFFNWCCXY-6.hgv.cram	NWD229299-HFFNWCCXY-6.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-6/HFFNWCCXY-6.hgv.cram
HFCLMCCXY-3	CHS	CHS_batch29_2017-12-06	NWD859928	171124_ST-E00238_0608_AHFCLMCCXY_3	HFCLMCCXY-3.hgv.cram	NWD859928-HFCLMCCXY-3.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-3/HFCLMCCXY-3.hgv.cram
HFFNWCCXY-7	CHS	CHS_batch29_2017-12-06	NWD565257	171124_ST-E00238_0609_BHFFNWCCXY_7	HFFNWCCXY-7.hgv.cram	NWD565257-HFFNWCCXY-7.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-7/HFFNWCCXY-7.hgv.cram
HFFNWCCXY-5	CHS	CHS_batch29_2017-12-06	NWD983208	171124_ST-E00238_0609_BHFFNWCCXY_5	HFFNWCCXY-5.hgv.cram	NWD983208-HFFNWCCXY-5.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-5/HFFNWCCXY-5.hgv.cram
HFFFFCCXY-5	CHS	CHS_batch29_2017-12-06	NWD269559	171124_ST-E00212_0643_BHFFFFCCXY_5	HFFFFCCXY-5.hgv.cram	NWD269559-HFFFFCCXY-5.hgv.cram	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171124_ST-E00212_0643_BHFFFFCCXY/Results/Project_HFFFFCCXY/Sample_HFFFFCCXY-5/HFFFFCCXY-5.hgv.cram
HFFNWCCXY-2	CHS	CHS_batch29_2017-12-06	NWD645558	171124_ST-E00238_0609_BHFFNWCCXY_2	HFFNWCCXY-2.hgv.cram	NWD645558-HFFNWCCXY-2.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-2/HFFNWCCXY-2.hgv.cram
HFCLMCCXY-8	CHS	CHS_batch29_2017-12-06	NWD463739	171124_ST-E00238_0608_AHFCLMCCXY_8	HFCLMCCXY-8.hgv.cram	NWD463739-HFCLMCCXY-8.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-8/HFCLMCCXY-8.hgv.cram
HFFNWCCXY-8	CHS	CHS_batch29_2017-12-06	NWD596417	171124_ST-E00238_0609_BHFFNWCCXY_8	HFFNWCCXY-8.hgv.cram	NWD596417-HFFNWCCXY-8.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-8/HFFNWCCXY-8.hgv.cram
HFFNWCCXY-4	CHS	CHS_batch29_2017-12-06	NWD671620	171124_ST-E00238_0609_BHFFNWCCXY_4	HFFNWCCXY-4.hgv.cram	NWD671620-HFFNWCCXY-4.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-4/HFFNWCCXY-4.hgv.cram
HFFNWCCXY-3	CHS	CHS_batch29_2017-12-06	NWD988584	171124_ST-E00238_0609_BHFFNWCCXY_3	HFFNWCCXY-3.hgv.cram	NWD988584-HFFNWCCXY-3.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-3/HFFNWCCXY-3.hgv.cram
HFCLMCCXY-4	CHS	CHS_batch29_2017-12-06	NWD133048	171124_ST-E00238_0608_AHFCLMCCXY_4	HFCLMCCXY-4.hgv.cram	NWD133048-HFCLMCCXY-4.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-4/HFCLMCCXY-4.hgv.cram
HFCLMCCXY-7	CHS	CHS_batch29_2017-12-06	NWD558309	171124_ST-E00238_0608_AHFCLMCCXY_7	HFCLMCCXY-7.hgv.cram	NWD558309-HFCLMCCXY-7.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-7/HFCLMCCXY-7.hgv.cram
